상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
26442695,커피엠,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100208320022,1,대지,832,22.0,서울특별시 강남구 역삼동 832-22,116803122008,서울특별시 강남구 역삼로,112,,1168010100108320022000002,밀브리지홀,서울특별시 강남구 역삼로 112,135080,6252.0,,1,,127.03130446536001,37.493231831546396
26446600,커피베이강북인수점,강북인수점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11305,강북구,1130566000,인수동,1130510300,수유동,1130510300203390002,1,대지,339,2.0,서울특별시 강북구 수유동 339-2,113053005041,서울특별시 강북구 삼양로,437,,1130510300103390002000761,성아빌딩,서울특별시 강북구 삼양로 437,142070,1033.0,,1,,127.016260588332,37.642401493338795
26011943,가을타는여자,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165053000,서초3동,1165010800,서초동,1165010800215690009,1,대지,1569,9.0,서울특별시 서초구 서초동 1569-9,116504163233,서울특별시 서초구 반포대로22길,81,,1165010800115690009021817,,서울특별시 서초구 반포대로22길 81,137070,6645.0,,1,,127.01266336409901,37.491005080672004
26433620,카페시벳,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11380,은평구,1138064000,증산동,1138011000,증산동,1138011000201850012,1,대지,185,12.0,서울특별시 은평구 증산동 185-12,113804133267,서울특별시 은평구 증산서길,64,7.0,1138011000101850012011245,,서울특별시 은평구 증산서길 64-7,122938,3500.0,,1,,126.905837672136,37.582213396715105
26432062,카페점보,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111055000,부암동,1111018400,부암동,1111018400202610006,1,대지,261,6.0,서울특별시 종로구 부암동 261-6,111103100014,서울특별시 종로구 창의문로,144,,1111018400102610006024939,,서울특별시 종로구 창의문로 144,110817,3020.0,,1,,126.964665676412,37.592889731890104
25973235,도피오,서면점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,26,부산광역시,26350,해운대구,2635051000,우1동,2635010500,우동,2635010500214340000,1,대지,1434,,부산광역시 해운대구 우동 1434,263503133005,부산광역시 해운대구 마린시티3로,1,,2635010500114340000030438,썬프라자,부산광역시 해운대구 마린시티3로 1,612725,48092.0,,,440,129.147596264231,35.1580087816546
25976860,비알브에노스페이스,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144065500,서강동,1144011500,상수동,1144065500201410001,1,대지,141,1.0,서울특별시 마포구 상수동 141-1,114403113005,서울특별시 마포구 독막로,101,,1144011500101410001009220,BR엘리텔,서울특별시 마포구 독막로 101,121828,4068.0,,,608,126.924430054336,37.5482349521357
26443556,커피그루나무,동대입구역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114058000,장충동,1114014400,장충동2가,1114014400201890027,1,대지,189,27.0,서울특별시 중구 장충동2가 189-27,111403005001,서울특별시 중구 동호로,260,,1114014400101890027017041,,서울특별시 중구 동호로 260,100855,4617.0,,1,,127.004972072639,37.5592761480867
8805693,카페산다,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162058500,낙성대동,1162010100,봉천동,1162010100216250004,1,대지,1625,4.0,서울특별시 관악구 봉천동 1625-4,116202120001,서울특별시 관악구 낙성대로,22,11.0,1162010100116250004030663,,서울특별시 관악구 낙성대로 22-11,151050,8790.0,,1,,126.958431088743,37.4770326132718
8766717,원효로COFFEE,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11170,용산구,1117056000,원효로1동,1117011200,원효로1가,1117011200200280019,1,대지,28,19.0,서울특별시 용산구 원효로1가 28-19,111703102007,서울특별시 용산구 원효로,231,,1117011200100280019019522,,서울특별시 용산구 원효로 231,140846,4316.0,,1,,126.96699828337799,37.5387936644537
