상호명,도로명주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,경도,위도
천하무족,"서울특별시 동작구 동작대로7길 74, (사당동)",음식,한식,한식/백반/한정식,한식 음식점업,사당1동,126.978566402674,37.4779202328849
야간얼큰우동,서울특별시 동작구 동작대로27다길 26,음식,분식,우동전문점,분식 및 김밥 전문점,사당2동,126.980227395651,37.4863143843287
케이크무드,"서울특별시 동작구 상도로15길 45, (상도동)",음식,제과제빵떡케익,제과점,제과점업,상도3동,126.934143320564,37.502667120633795
응급실국물떡볶이,"서울특별시 동작구 상도로37길 64, (상도동)",음식,분식,떡볶이전문,분식 및 김밥 전문점,상도1동,126.952171176847,37.498629524375296
별라카페,"서울특별시 동작구 신대방2길 12, (신대방동)",음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,신대방1동,126.913184113912,37.4879782928266
팩토리샐러브,"서울특별시 동작구 양녕로 253-10, (상도1동)",음식,양식,정통양식/경양식,서양식 음식점업,상도1동,126.947038443386,37.503341422392396
LuciaHair,"서울특별시 동작구 성대로1길 18, (상도동)",생활서비스,이/미용/건강,여성미용실,두발미용업,상도4동,126.934143885392,37.501036229257394
강서,서울특별시 동작구 사당로 18,음식,중식,중국음식/중국집,중식 음식점업,상도1동,126.95622233057699,37.4952053569305
GS25,서울특별시 동작구 동작대로27길 31,소매,종합소매점,편의점,체인화 편의점,사당2동,126.980235801499,37.487359678897796
뷰티염색방,"서울특별시 동작구 국사봉1길 74, (상도동)",생활서비스,이/미용/건강,남성미용실,이용업,상도3동,126.93136923456801,37.498127807473004
오니기리와이규동,서울특별시 동작구 강남초등길 7,음식,한식,한식/백반/한정식,한식 음식점업,상도1동,126.95222975317199,37.506577296435104
볼룸,서울특별시 동작구 상도로 120,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,상도4동,126.933541603861,37.50123803428679
호치킨,서울특별시 동작구 여의대방로 188-1,음식,닭/오리요리,후라이드/양념치킨,치킨 전문점,대방동,126.921993074816,37.503692180031
샤론,"서울특별시 동작구 장승배기로10길 26, (상도동)",생활서비스,이/미용/건강,여성미용실,두발미용업,상도2동,126.940411977908,37.5040570688594
더에스비웨딩컨벤션,서울특별시 동작구 보라매로5길 15,생활서비스,예식/의례/관혼상제,예식장/예식서비스,예식장업,신대방2동,126.92425073284299,37.4921703425929
에프지엔개발전문자기관리부동산투자회사,서울특별시 동작구 상도로30길 40,부동산,평가/개발/관리,부동산자문,부동산 자문 및 중개업,상도2동,126.94245554445,37.5043096549979
러브락,서울특별시 동작구 사당로27길 89,음식,한식,한식/백반/한정식,한식 음식점업,사당3동,126.97522982404101,37.4871181309987
한톨미소,서울특별시 동작구 상도로41가길 12,음식,양식,정통양식/경양식,서양식 음식점업,상도1동,126.950389698337,37.5030919231048
행복나눔장터,"서울특별시 동작구 사당로22길 49, (사당동)",음식,분식,라면김밥분식,분식 및 김밥 전문점,사당1동,126.976824974402,37.4812570871984
나들가게,서울특별시 동작구 대방동27길 51,소매,종합소매점,수퍼마켓,슈퍼마켓,대방동,126.924254594673,37.5029378972078
이마트24,서울특별시 동작구 남부순환로 2045,소매,종합소매점,할인점,기타 대형 종합 소매업,사당1동,126.975970592475,37.4767534240611
여자만민물장어,서울특별시 동작구 남부순환로271길 18,음식,일식/수산물,민물장어전문,한식 음식점업,사당1동,126.980187407465,37.4776098557659
워너커피,서울특별시 동작구 사당로13길 15,음식,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,사당3동,126.972377709725,37.4848317140562
옛날삼겹살5900,서울특별시 동작구 동작대로25길 22,음식,한식,갈비/삼겹살,한식 음식점업,사당2동,126.980818007824,37.4861212490489
서민준밀밭,서울특별시 동작구 동작대로27길 20-4,음식,분식,국수/만두/칼국수,분식 및 김밥 전문점,사당2동,126.980864303222,37.487707502564504
칩꾸아프,"서울특별시 동작구 사당로27길 31, (사당동)",생활서비스,이/미용/건강,여성미용실,두발미용업,사당3동,126.977527921515,37.485263851536004
허브필라테스,"서울특별시 동작구 상도로 362-1, (상도동)",관광/여가/오락,요가/단전/마사지,요가/단식,기타 미용관련 서비스업,상도1동,126.953244830434,37.4962512608856
대한누수설비,서울특별시 동작구 사당로23길 112,생활서비스,주택수리,수도설비,배관 및 냉·난방 공사업,사당3동,126.973366846532,37.487741704236896
유티나이,서울특별시 동작구 대방동길 6,음식,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,대방동,126.92789922222401,37.5003670057693
에이컨셉,"서울특별시 동작구 동작대로 103, (사당동)",생활서비스,이/미용/건강,여성미용실,두발미용업,사당2동,126.981681919801,37.4857862981815
바로브레드,서울특별시 동작구 신대방길 5,음식,제과제빵떡케익,제과점,제과점업,신대방1동,126.91224910042601,37.487735414993296
이마트24,서울특별시 동작구 대방동27길 91,소매,종합소매점,할인점,기타 대형 종합 소매업,대방동,126.924212210207,37.5011624486499
이마트24,서울특별시 동작구 사당로16바길 34,소매,종합소매점,할인점,기타 대형 종합 소매업,사당4동,126.97076790057699,37.481015255791604
동작한분식,"서울특별시 동작구 여의대방로22나길 39, (신대방동)",음식,분식,라면김밥분식,분식 및 김밥 전문점,신대방2동,126.92191693688,37.496402014099296
원조유명한닭꼬치,서울특별시 동작구 신대방2길 2-5,음식,유흥주점,꼬치구이전문점,기타 주점업,신대방1동,126.912837279262,37.4877228081315
신뽀대닭발,서울특별시 동작구 장승배기로 8-1,음식,닭/오리요리,닭내장/닭발요리,한식 음식점업,상도4동,126.943506688734,37.4995435042657
